"Supplementary Table 6 – Candidate TEAD targets genes are annotated with expression information (in-house and public datasets), biological function and involvement in melanoma. ",,,,,,,,,,,
,,,,,,,,,,,
Gene Symbol,2 invasive vs 9 proliferative samples,,TEADs - KD in MM047,,TAZ activation in Glioma*,TCGA-SKCM (TEAD-high vs rest),,CCLE-melanoma (Resistant vs Sensitive),,ECM and locomotion (GO),Involvement in melanoma (NCBI)
Gene Symbol,log2FC,adj-p-val,log2FC,adj-p-val,log2FC,log2FC,adj-p-val,log2FC,adj-p-val,,
RUNX2,2.604900166,0.012215316,0.368036528,0.116348558,0.021358611,0.950082824,6.22E-05,0.178576425,0.472252535,0,1
SDC4,1.861176161,0.000327486,-0.22723343,0.42466121,1.15882484,0.821492696,5.63E-07,1.342665876,0.016720874,0,1
SECTM1,3.93931475,0.018297187,2.030435513,7.73E-22,0.198252824,0.185442033,0.585377138,0.724062229,0.066319384,0,1
SERPINB9,3.682408161,0.06017734,0.79339626,0.056009009,0,-0.78876232,0.008191543,-0.224342021,0.583404486,0,1
SKIL,1.909448047,0.00552745,-0.140520897,0.813896814,-0.058585907,0.932395536,9.21E-07,0.435086576,0.156391548,0,1
SLC2A1,1.590420616,0.078999398,0.200467032,0.352620548,0.81914474,0.60835332,0.009593244,0.558198228,0.036918877,0,1
SMURF2,2.531103708,5.38E-20,-0.01353539,0.969757008,1.481323964,1.033380277,1.65E-10,1.31815088,0.006238774,0,1
SPANXC,6.905944778,1.07E-07,-0.180114534,0.725998659,NA,1.816378456,0.070516244,1.527374486,0.104476214,0,1
TAP1,1.615336596,0.009374428,-0.119739619,0.669892076,0.417944142,-0.955242464,2.68E-05,0.702190648,0.092247519,0,1
TBX3,2.95831211,0.00845992,-0.001354688,0.997091382,0.033998178,1.07581002,0.000926943,0.47600332,0.192910549,0,1
TCF4,6.109278818,2.86E-05,0.239236245,0.303139522,-1.362816563,1.755426768,1.11E-12,2.568991227,0.000687592,0,1
TFPI2,3.144682619,0.0423898,-1.265954819,0.134757033,3.646207307,0.337795503,0.521082605,2.56090566,0.062640563,0,1
TGM2,4.89261408,7.18E-05,-0.687849396,0.024791946,0.180882897,1.400418291,8.38E-09,1.194070506,0.014899613,0,1
TNFRSF10A,3.982469393,0.032198873,0.065492536,0.903341068,NA,1.453672823,1.70E-06,0.115715227,0.9011334,0,1
TNFRSF9,7.201340173,1.61E-11,1.894548469,0.000119268,-0.033004647,-0.124565036,0.795716402,0.128550396,0.285385087,0,1
XAF1,5.064540264,0.001033869,0.227069611,0.688701601,0,-0.18879019,0.571192463,0.735124999,0.259948897,0,1
A4GALT,4.091390205,0.003061021,0.632295134,0.356977497,0,1.275502531,1.11E-07,0.133206868,0.507400097,0,0
ABCC3,8.427404259,7.30E-17,1.607065431,1.91E-15,0.067118197,0.58276326,0.068743274,0.498167915,0.038007177,0,0
AC005789.11,4.044501599,0.000148723,0.244712264,0.610888572,NA,NA,NA,NA,NA,0,0
AC098614.2,2.394514981,0.056346244,-1.27716777,2.65E-05,NA,NA,NA,NA,NA,0,0
ADAM19,4.432627849,0.001691157,-0.138517061,0.695641379,-1.078257079,1.955563508,7.12E-13,1.124443647,0.022604771,0,0
ADAMTS12,8.33418769,1.96E-14,-0.825452887,0.000430434,0,1.766579683,1.63E-11,0.389308312,0.213841107,0,0
ADAMTS6,6.854028229,1.43E-12,-0.694503262,0.299457679,0,1.742759887,2.00E-09,0.932918178,0.073982746,0,0
ADAMTSL1,8.146358143,1.24E-09,NA,NA,NA,2.24759046,3.36E-15,0.256838367,0.259948897,0,0
AKR1C3,4.303486333,0.024353302,0.431005908,0.622367568,-1.295206406,1.717557371,1.56E-08,2.261525208,0.036241315,0,0
ALPK2,8.050610121,8.50E-18,0.12191094,0.859136721,NA,0.985689071,0.001977064,1.368083258,0.062257787,0,0
AMIGO2,5.500627504,2.07E-05,-0.45721119,0.132651633,2.503804747,0.28669322,0.430679757,0.800302623,0.636355275,0,0
AMPD3,3.628603912,0.00091401,1.427187091,1.70E-05,0.69998703,0.88911868,0.000115306,0.583865606,0.077194166,0,0
AMZ1,3.948869358,0.019361016,-0.639052069,0.063381939,NA,-0.233261281,0.525971143,0.025018287,0.915260083,0,0
ANKRD13A,1.821211959,4.29E-05,-0.656356078,0.045012113,NA,0.094645725,0.428476805,0.436045014,0.326368476,0,0
ANKRD29,3.358715635,0.068406342,-1.077810672,0.001361812,NA,0.946029599,0.002253992,0.334929184,0.713961559,0,0
ANO10,1.466400802,0.066710345,0.175719456,0.48035716,0.991639765,-0.096774516,0.48736282,0.575102403,0.038244849,0,0
ANTXR2,2.883515241,0.012815209,-0.333440321,0.372599388,NA,1.440219561,3.74E-12,0.980314448,0.028254004,0,0
